match_id,win,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,p_win_10min
NA1_5443643292,True,-2084,-944,-22,-4,0.26767033765482656
NA1_5447730419,True,1135,657,12,3,0.6497474733317483
NA1_5453773386,True,-1826,-73,-56,-3,0.12088752640863464
NA1_5452862200,True,-1258,-803,-13,-4,0.3066859285308271
NA1_5443935037,True,242,-440,-8,1,0.5514026748732156
NA1_5452118454,False,583,1427,30,0,0.6549774683101084
NA1_5443847636,False,-1587,27,-6,-3,0.3865449892975268
NA1_5444559906,True,-377,1320,35,-2,0.4341846347983178
NA1_5444035782,False,1428,2337,5,3,0.6421839389196751
NA1_5446993675,False,-2263,38,-36,-1,0.2412920602678004
NA1_5447352923,True,647,1029,-3,4,0.5270285996835852
