match_id,queue_id,game_duration_sec,game_creation,summoner_name,puuid,team_id,win,champion_name,role,lane,kills,deaths,assists,total_minions_killed,neutral_minions_killed,gold_earned,damage_to_champions,vision_score,kda,cs,game_minutes,cs_per_min,team_kills,team_gold,team_damage_to_champions,team_vision_score,kill_participation,damage_share,gold_share,vision_per_min,z_damage_share,z_kill_participation,z_cs_per_min,z_vision_per_min,impact_score,impact_rank_on_team,p_win_10min,bucket
NA1_5450317106,420,1845,1767029126407,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Heimerdinger,TOP,TOP,4,7,9,159,0,11185,23726,14,1.8571428571428572,159,30.75,5.170731707317073,30,53856,103013,106,0.4333333333333333,0.2303204449923796,0.2076834521687462,0.4552845528455284,-0.1206403500765403,0.3349557790136464,-0.5019079320713247,-0.2226537535343144,-0.0894797471939578,4.0,0.6513581744470487,UNLUCKY LOSS (high exp)
NA1_5446905377,420,1710,1766684802817,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,15,3,7,144,0,13433,26120,23,7.333333333333333,144,28.5,5.052631578947368,54,68758,130246,102,0.4074074074074074,0.2005435867512246,0.1953663573693242,0.8070175438596491,-0.3105840623408906,-0.0729622462496862,-0.5571952892323707,0.7784720703228407,-0.1920447109700261,4.0,0.7584824078478707,NORMAL
NA1_5443595699,420,1916,1766344979282,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Amumu,JUNGLE,JUNGLE,7,3,14,21,152,12569,17565,22,7.0,173,31.933333333333337,5.417536534446764,36,64020,111013,177,0.5833333333333334,0.1582247124210678,0.1963292721024679,0.6889352818371607,-0.1966180051272935,0.5743375997695626,-0.2365206279888604,0.0685052652658728,0.0512053476656882,4.0,0.4096807847443183,NORMAL
NA1_5452780775,420,1600,1767279885190,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,9,1,4,141,10,12485,24204,18,13.0,151,26.666666666666668,5.6625,39,58089,91976,88,0.3333333333333333,0.2631556058102113,0.2149288161269775,0.6749999999999999,0.4086711076899614,-0.5084523787142552,-0.0845709713801895,0.2361366802284686,-0.0070299007449905,2.0,0.6871241651321154,NORMAL
NA1_5443643292,420,1903,1766349214810,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,JUNGLE,JUNGLE,3,4,15,31,156,12380,19026,29,4.5,187,31.716666666666665,5.895953757225434,30,61764,120006,177,0.6,0.1585420728963552,0.2004403859853636,0.9143457698370994,-0.1919832891867042,0.6614412994582584,0.1193988533427831,0.9069064889433964,0.2517786008521664,5.0,0.2676703376548265,CLUTCH WIN (low exp)
NA1_5447730419,420,1635,1766774610676,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,MIDDLE,MIDDLE,4,4,4,159,0,11242,18729,23,2.0,159,27.25,5.834862385321101,37,59058,96195,100,0.2162162162162162,0.1946982691408077,0.1903552439974262,0.8440366972477065,-0.3777321111492815,-1.1969975881514792,0.0490031767043362,0.9305488050257648,-0.3859998406690317,3.0,0.6497474733317483,NORMAL
NA1_5453773386,420,2191,1767377487618,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,MIDDLE,MIDDLE,13,10,8,193,10,16288,38286,30,2.1,203,36.516666666666666,5.559105431309904,50,82683,148388,194,0.42,0.2580127773135294,0.1969933359940979,0.8215426745778184,0.3495928980999525,0.0010710762692905,-0.1646977426801905,0.8381421126816414,0.165318612813887,2.0,0.1208875264086346,CLUTCH WIN (low exp)
NA1_5452862200,420,2238,1767292661274,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,19,6,12,241,0,21673,48217,35,5.166666666666667,241,37.3,6.461126005361931,43,77908,140330,200,0.7209302325581395,0.3435972350887194,0.2781870924680392,0.9383378016085792,1.3327438115228172,1.77027505860035,0.5343331364136147,1.3179429704122614,1.2629204327577206,1.0,0.3066859285308271,"CLUTCH WIN (low exp, high impact)"
NA1_5443935037,420,1955,1766370095909,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,JUNGLE,JUNGLE,11,4,14,28,166,16055,33587,33,6.25,194,32.583333333333336,5.953964194373401,36,66377,141714,153,0.6944444444444444,0.2370055181562866,0.2418759510071259,1.012787723785166,0.9538928006775256,1.1550289310275368,0.1625558379128773,1.273055621504113,0.8483156811740256,1.0,0.5514026748732156,NORMAL
NA1_5452118454,420,2375,1767209630826,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Ekko,MIDDLE,MIDDLE,21,3,6,245,0,17896,54389,46,9.0,245,39.583333333333336,6.189473684210526,53,78549,168559,190,0.5094339622641509,0.3226704002752745,0.2278323084953341,1.1621052631578948,1.0923469299309352,0.5268637852581165,0.3238131479289768,2.2371921095932845,0.845053058994835,1.0,0.6549774683101084,"UNLUCKY LOSS (high exp, high impact)"
NA1_5443847636,420,1953,1766364956340,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Kayn,JUNGLE,JUNGLE,6,9,4,28,104,10963,21633,31,1.1111111111111112,132,32.55,4.055299539170507,20,53104,135876,164,0.5,0.1592113397509494,0.2064439590238023,0.9523809523809524,-0.1822093507128381,0.1388191013260814,-1.2499596551072611,1.0483761422435265,-0.2297798419041315,4.0,0.3865449892975268,NORMAL
NA1_5444559906,420,2578,1766440585804,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Lux,MIDDLE,MIDDLE,4,7,22,243,4,16424,39567,30,3.7142857142857144,247,42.96666666666667,5.748642358417378,50,96414,220222,183,0.52,0.1796686979502502,0.1703487045449831,0.6982156710628393,-0.5503842144454723,0.5889827550964589,-0.0178139923667148,0.3315079441837583,0.0127576477997195,3.0,0.4341846347983178,NORMAL
NA1_5444035782,420,2155,1766375522705,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Amumu,JUNGLE,JUNGLE,7,6,11,33,152,13645,20779,34,3.0,185,35.916666666666664,5.150812064965198,32,69246,135212,195,0.5625,0.1536771884152294,0.1970510932039395,0.9466357308584687,-0.2630298101291173,0.4654579751586921,-0.4349508481322008,1.0270071243354062,0.0415399594029069,3.0,0.6421839389196751,NORMAL
NA1_5446993675,420,1482,1766694694369,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Ekko,MIDDLE,MIDDLE,10,5,3,160,0,11676,17747,17,2.6,160,24.7,6.477732793522267,19,43222,58412,81,0.6842105263157895,0.3038245565979593,0.2701402063763824,0.688259109311741,0.8758554207570803,1.5543956171705455,0.5472027516536491,0.2906058364531275,0.9387293539748668,1.0,0.2412920602678004,NORMAL
NA1_5447352923,420,2179,1766722921300,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,MIDDLE,MIDDLE,9,6,11,226,0,15952,45987,34,3.3333333333333335,226,36.31666666666667,6.2230380908673695,45,72094,173496,199,0.4444444444444444,0.2650608659565638,0.2212666796127278,0.9362092703074804,0.4305577714825275,0.1447828199825982,0.3498242582811471,1.3091988458076047,0.4125060151647113,1.0,0.5270285996835852,NORMAL
